Sample,Year,Area,Easting,Northing,Temperature,pH,O2,HCO3-,Fe+2,HS-,SiO2,Li+,Na+,NH4+,K+,Mg+2,Ca+2,F-,Cl-,NO2-,Br-,NO3-,SO4-2,HPO4-2,H2,CH4,CO
170723TV,2017.0,Rabbit Creek,515149.07,4928521.8,54.8,4.948,0.000114375,0.0015909789,3.043867502238138e-06,1.3496860512880698e-06,0.0036867509986684,1.3614752917447053e-06,0.0005850989629343,5.742793791574279e-06,0.0002686623203566,8.367208393334705e-06,3.786927990418683e-05,7.808763157894737e-05,1.4686036671368122e-05,BDL,BDL,2.873160024449681e-07,0.0003535455444513,BDL,NM,NM,NM
170723TX,2017.0,Rabbit Creek,515137.39,4928588.14,50.2,2.907,0.00010625,0.00025548095,5.013428827215757e-06,7.62866028988909e-07,0.0034287616511318,1.5343610430773664e-06,0.0003402104649246,0.000258294345898,0.0002178730277275,1.6953918946718784e-05,4.417311243076001e-05,3.6594736842105264e-05,1.0006629055007052e-05,BDL,BDL,2.896545273034873e-07,0.0012753198521757,BDL,NM,NM,NM
170723TY,2017.0,Rabbit Creek,515128.45,4928547.59,73.3,4.57,1.03125e-06,0.0027494393666666,1.880035810205909e-05,1.9951880758171467e-06,0.0039613848202396,1.7029246506267109e-06,0.0004555211059319,3.667655210643015e-05,0.0002848268339032,7.967702118905574e-06,4.175145965367533e-05,5.259631578947369e-05,1.337968970380818e-05,BDL,BDL,2.813487321163328e-07,0.0003591900895273,BDL,NM,NM,NM
170723TZ,2017.0,Rabbit Creek,515150.61,4928514.81,58.5,5.75,4.25e-05,0.001345354975,1.4324082363473592e-06,3.227510122645385e-06,0.0042609853528628,2.31378763866878e-06,0.0011163818131447,1.2245842572062084e-05,0.0002487563397897,1.967907837893437e-06,9.786790758021857e-06,0.0001273710526315,7.921861777150918e-06,4.282143245299424e-08,BDL,1.870819886815397e-07,0.0003712462002914,BDL,NM,NM,NM
170718SX,2017.0,White Creek,516061.2252,4931216.571,83.0,7.998,4.6875e-05,0.0054145171166666,1.790510295434199e-07,2.640690100346224e-07,0.0043774966711051,0.0004823526869327,0.0131080481930897,3.3592017738359207e-06,0.0003772371177263,BDL,1.2764359498976993e-05,0.0011478,0.0066849760225669,2.096511248777307e-07,9.31204945935122e-06,1.6514823828439365e-07,0.000185456433479,BDL,2.7778183866835705e-08,NM,NM
170718SY,2017.0,White Creek,516061.2252,4931216.571,82.6,7.964,1.5625e-05,0.0052753774416666,BDL,1.7604600668974828e-07,0.0047270306258322,0.0004836442875666,0.0131055557800515,3.458980044345898e-06,0.0003782325574257,BDL,1.2392833973751183e-05,0.0011507947368421,0.0066966318758815,1.98565373328986e-07,9.324314177012417e-06,1.6401929524924645e-07,0.0001852902352696,BDL,8.910469345984447e-08,NM,NM
170718SZ,2017.0,White Creek,516075.5388,4931037.563,85.3,8.295,1.5625e-05,0.0046999422416666,1.790510295434199e-07,2.40596209142656e-06,0.0047936085219707,0.0004969687364933,0.0128851751402982,5.254988913525499e-06,0.0003800890320039,BDL,1.0749164129946604e-05,0.0011506578947368,0.0067300761636107,4.347353548527334e-07,9.389705146175413e-06,BDL,0.0001502885175931,BDL,NM,NM,NM
170718SA,2017.0,White Creek,516162.968,4931017.719,73.9,8.635,2.1875e-05,0.0042107262833333,BDL,3.814330144944545e-07,0.0048934753661784,0.0005131803774672,0.0130980002452395,2.1341463414634146e-06,0.0003602899614561,BDL,1.2697240381256548e-05,0.0011653114035087,0.0069173648330982,5.58417563308336e-07,9.70427012414898e-06,4.611732298576403e-07,0.000184160004164,BDL,NM,NM,NM
170718SB,2017.0,White Creek,516182.335,4930981.973,69.5,7.277,3.75e-05,0.005246830875,1.074306177260519e-06,2.053870078047063e-07,0.0041611185086551,0.0003333626278634,0.0107808245775182,1.2610864745011089e-06,0.0005199951148771,2.289652334910512e-07,2.2692499625729825e-05,0.0009382850877193,0.005468772919605,1.7262616382277295e-06,7.540360933119743e-06,1.8635623958751645e-07,0.0001511694774099,BDL,NM,NM,NM
170718SC,2017.0,White Creek,516182.335,4930981.973,76.1,7.222,3.125e-05,0.0052455227666666,3.581020590868398e-07,3.227510122645385e-07,0.0039780292942743,0.0003316690678576,0.0106447749286505,2.175720620842572e-06,0.0005180387638337,BDL,2.239944608014372e-05,0.0009279254385964,0.0054348848142924,1.804151722638844e-06,7.495870044052864e-06,1.766795850005403e-07,0.0001501249219237,BDL,NM,NM,NM
170722SR,2017.0,White Creek,516650.0,4930738.0,66.4,6.65,4.6875e-05,0.0028672327916666,5.371530886302595e-07,BDL,0.0029627163781624,4.802766172021322e-05,0.0035012574506512,9.478935698447896e-07,0.0004784837192409,1.2203044641020366e-05,0.0003953710264983,0.0004884631578947,0.0013671806770098,1.2183458319747853e-07,1.911418702442932e-06,5.997106680278495e-07,0.0002701703102227,BDL,NM,NM,NM
170722SS,2017.0,White Creek,516864.2932,4930853.03,47.3,8.055,9.0625e-05,0.0019299930083333,3.581020590868398e-07,BDL,0.0026464713715046,4.215386831868607e-05,0.0033299584262895,8.148558758314856e-07,0.0003617235276214,5.614276897757663e-06,0.0003262777583711,0.0005115239473684,0.0013712888575458,6.314531029235952e-08,1.91848968762515e-06,2.403035889099088e-06,0.0002698076202373,BDL,NM,NM,NM
170722SU,2017.0,White Creek,516773.8434,4930693.299,71.3,7.672,2.8125e-05,0.0022163810583333,BDL,BDL,0.0028295605858854,4.7060942227344765e-05,0.0035354088739792,1.1770140428676995e-06,0.0004519247639922,1.0032297881094425e-05,0.0003551188931583,0.0005044052631578,0.0014979952045133,4.373437669818498e-07,2.054715658790549e-06,2.960249915732466e-07,0.0002933328648761,BDL,5.4516591898868184e-08,NM,NM
170722SV,2017.0,White Creek,516781.7807,4930674.408,79.5,6.871,1.875e-05,0.0024244190833333,BDL,BDL,0.0031790945406125,4.650986889497191e-05,0.003395990335237,1.3617886178861806e-06,0.0004465038121862,1.0023246245628472e-05,0.0003513939068815,0.0005224239473684,0.00147701325811,3.133355070101076e-07,2.013916700040048e-06,2.990086267375644e-07,0.0002892983031438,BDL,NM,NM,NM
170724TA,2017.0,Crater Hills,541018.37,4944795.09,85.8,1.535,5.3125e-07,0.0003093740666666,0.0001888988361683,0.0002405962091426,0.0052097203728362,1.6611439273879844e-06,0.0001418243915369,5.803769401330377e-07,0.0001518142732548,1.3319893026126311e-05,2.692000598832277e-05,0.0001659921052631,5.233399153737658e-05,4.89077274209325e-07,BDL,1.833726044231988e-07,0.0282150530918176,BDL,NM,NM,NM
170724TB,2017.0,Crater Hills,541088.31,4944727.42,51.5,3.227,9.90625e-05,5.52705e-06,9.131602506714414e-06,1.525732057977818e-06,0.0136318242343541,0.0010737775536666,0.0289826422353352,0.0009856568736141,0.0039903310374108,2.9842419255297265e-05,0.0001949668147113,0.0020387105263157,0.0239940409026798,8.042604064775567e-07,3.188538746495795e-05,4.794782347846702e-07,0.0057275973349989,BDL,BDL,NM,NM
170724TC,2017.0,Crater Hills,541088.31,4944727.42,46.4,3.187,0.000129375,4.68966666666665e-07,8.415398388540734e-06,7.04184026758993e-07,0.0134320905459387,0.0010870753493732,0.0290811316981914,0.000985199556541,0.0040530800571891,3.056037852293767e-05,0.0001983651878836,0.0020871315789473,0.0235817630465444,5.651559613085534e-07,3.1680766920304364e-05,3.459404014843989e-07,0.0058915781803039,BDL,NM,NM,NM
170724TE,2017.0,Crater Hills,541088.31,4944727.42,87.2,3.464,1.21875e-05,0.00016618125,8.773500447627573e-06,2.787395105921014e-06,0.0122836218375499,0.001065271574701,0.0279825343177654,0.0009452466740576,0.003964952696153,2.866611808269904e-05,0.0001936416487848,0.0019200263157894,0.0226484062059238,1.4128899032713834e-07,2.991727573087705e-05,BDL,0.0053963148032479,BDL,NM,NM,NM
170724TF,2017.0,Crater Hills,541088.31,4944727.42,22.1,3.083,0.000228125,7.7093e-06,5.192479856759177e-06,9.682530367936157e-07,0.0183089214380825,0.0011147730874513,0.0301754880616677,0.0010254018847006,0.0041597898118332,3.058259617362683e-05,0.0002030430660212,0.0021174078947368,0.0248074541607898,4.293011629170742e-07,3.311323588305967e-05,1.9337181416307426e-07,0.0060371356443889,BDL,NM,NM,NM
170714TI,2017.0,Forest Springs,542112.59,4951003.29,63.9,2.952,3.4375e-06,0.0023233033958333,3.043867502238138e-06,2.816736107035972e-05,0.0070239680426098,6.5538106901022905e-06,0.0026703356610499,0.0009643181818181,0.0009055125158894,0.0001371837070561,0.0004346698937072,1.5751315789473684e-05,4.127785613540197e-05,2.34757091620476e-08,BDL,2.3143332220518058e-07,0.0033985644388923,BDL,NM,NM,NM
170714TJ,2017.0,Forest Springs,541481.82,4951157.73,50.4,2.213,1.1249999999999998e-06,0.00232571555,0.000101163831692,3.90235314828942e-06,0.0038531957390146,1.2695577006195072e-05,0.0010691231825774,2.4621212121212138e-06,0.0004229847589281,0.0004061561407117,0.0004230408204002,3.635342105263158e-05,1.6839633286318757e-05,3.151831322682317e-07,BDL,BDL,0.0054635071830106,BDL,NM,NM,NM
170723SX,2017.0,Spirea Creek,525763.03,4890599.2,43.9,7.645,0.00010625,0.0081692442416666,3.581020590868398e-07,5.868200222991609e-08,0.0041278295605858,0.0001190692983719,0.0105434639208423,8.758314855875833e-07,0.0002195921561807,1.2413495165603785e-05,0.0003227354159389,0.0005119263157894,0.0031780916784203,BDL,4.4484631557869446e-06,BDL,0.0001271800437226,BDL,NM,NM,NM
170723SY,2017.0,Spirea Creek,525770.2,4890514.86,47.1,7.903,8.75e-05,0.00793986165,7.162041181736796e-07,5.868200222991609e-08,0.0020972037283621,0.0001198271142486,0.0107489031316495,BDL,0.0001837074757726,1.1841802098333676e-05,0.0002451658016867,0.0005095210526315,0.0032515162200282,2.2823606129768506e-07,4.477810873047657e-06,1.1474899564389268e-06,0.000127055590256,BDL,7.200797931621591e-08,NM,NM
170723SZ,2017.0,Spirea Creek,525773.89,4890497.64,66.6,6.656,1.875e-05,0.008866052025,8.952551477170994e-07,8.802300334487414e-08,0.0019973368841544,0.0001169276761273,0.0103951648013514,2.7993348115299337e-06,0.0001830844307808,1.647459370499897e-05,0.0003363316532761,0.0004794160526315,0.0025578228490832,BDL,3.489124449339208e-06,BDL,0.0001025016656256,BDL,NM,NM,NM
170723SA,2017.0,Spirea Creek,525746.46,4890481.74,62.2,7.093,4.375e-05,0.0083710572083333,BDL,1.1736400445983217e-07,0.0022303595206391,0.0001164090188733,0.0104327576105701,1.3237250554323725e-06,0.0001856794285173,1.203414935198519e-05,0.0003553313538599,0.0004934013157894,0.0031257475317348,BDL,4.336954345214257e-06,3.202972668289119e-07,0.0001221817613991,BDL,NM,NM,NM
170724SD,2017.0,Otter Creek,534224.68,4948077.3,47.2,5.785,9.6875e-07,0.0040752200833333,6.982990152193375e-05,6.455020245290769e-05,0.0031790945406125,4.126206598472842e-05,0.0064808451678367,7.593311160384313e-05,0.0012483753769345,8.256593293560997e-05,0.0001073663855481,0.0002932929824561,0.0028018081805359,5.2892801507082496e-08,4.004367741289548e-06,BDL,0.001468619612742,BDL,1.729461515517233e-08,NM,NM
170715TL,2017.0,Turbid Lake,559226.38,4932882.93,43.8,6.252,7.65625e-06,0.0236185724375,BDL,0.0003362478727774,0.0033122503328894,0.0003126537962829,0.0184346436886773,0.0002303824833702,0.0004739029574175,0.0007979177124048,0.0011065176655521,0.000120197368421,0.0054983088857545,2.141071622649712e-07,6.78063676411694e-06,BDL,0.0012195914012075,BDL,NM,NM,NM
170715TN,2017.0,Turbid Lake,559248.94,4932918.21,69.7,6.682,3.78125e-06,0.0178461181041666,BDL,6.836453259785224e-05,0.003944740346205,0.0003715372424722,0.019948063636481,0.0002338414634146,0.0004761132836977,0.0005158852088047,0.0008106562203702,0.0001628881578947,0.0063256664315937,1.467231822627975e-07,8.279435322386865e-06,2.243371088413981e-07,0.0011543566520924,BDL,4.6777450908482164e-08,NM,NM
170719TC,2017.0,Gibbon Hill,521508.22,4949604.57,88.4,6.398,1.9375e-06,0.0022380459916666,BDL,3.3448741271052165e-05,0.006008655126498,0.0004944359602362,0.0135323293157056,4.298087583148559e-05,0.0009645283810293,8.49207981896729e-07,9.813962772593444e-05,0.0005628815789473,0.0113977221438645,BDL,1.5734256107328794e-05,BDL,0.000550187278784,BDL,6.868909085684022e-08,NM,NM
170719TD,2017.0,Gibbon Hill,521594.95,4949598.08,51.2,5.828,2.96875e-06,0.00905008275,3.939122649955238e-06,9.242415351211783e-05,0.0030625832223701,0.0001010178648609,0.0062824972273536,1.7454545454545452e-05,0.0006593878761992,2.0363711170541044e-05,0.0001792346174958,0.0003167860526315,0.0020372620592383,1.512879034887512e-07,2.776206447737285e-06,3.7803463919786986e-07,0.0007857536956069,BDL,NM,NM,NM
170719TE,2017.0,Gibbon Hill,521594.95,4949598.08,43.4,5.806,7.15625e-06,0.0079245391875,8.773500447627573e-06,0.0001223519746493,0.0030126498002663,0.0001113701195793,0.0069413433427713,1.7991130820399114e-05,0.0007082929436829,2.948878831516149e-05,0.0002095149458555,0.0003222113157894,0.0021423472496473,4.1734594065862416e-08,2.968499699639568e-06,6.324500160471189e-07,0.001352421819696,BDL,6.757657080607151e-09,NM,NM
170719TF,2017.0,Gibbon Hill,521594.46,4949600.9,86.8,7.039,5.406249999999999e-06,0.0024362228666666,BDL,1.7457895663400034e-05,0.0053262316910785,0.0004537213657974,0.0129731566680813,2.416851441241685e-05,0.0010059777535084,2.464513474593705e-06,0.0001555144967313,0.0005449407894736,0.0103744181946403,BDL,1.4277508009611534e-05,BDL,0.0005794378513429,BDL,NM,NM,NM
170719TG,2017.0,Gibbon Hill,521504.62,4949507.77,87.9,6.503,2.28125e-06,0.0026567101416666,BDL,7.041840267589929e-06,0.0059087882822902,0.0006639489987033,0.0173620913176639,2.211231984478936e-05,0.0010771051426788,4.82616745525612e-07,9.746394530665202e-05,0.0007179851973684,0.0155153340973201,6.55499402238887e-07,2.1177788346015225e-05,BDL,0.0005349473245887,BDL,NM,NM,NM
170725SI,2017.0,Gibbon Hill,521857.56,4949354.98,22.3,8.35,0.000196875,0.0005651422166666,BDL,4.401150167243706e-07,0.0035619174434087,0.0007055345051145,0.0155536686775756,4.036169623059868e-06,0.0015641955021062,5.517383254474389e-07,3.5116522780577875e-05,0.0008099309210526,0.0173947461212976,BDL,2.408834351221466e-05,1.733733946833234e-07,0.0004314537268373,BDL,NM,NM,NM
170725SM,2017.0,Gibbon Hill,521537.1,4949512.14,70.3,1.606,1.846875e-05,0.001278013375,0.0001217547000895,5.39874420515228e-05,0.0021970705725699,2.8886327618498776e-06,0.0001981011640438,0.0006708009977827,0.0006484836936644,3.220160460810533e-05,3.0357802285543187e-05,8e-06,1.2080677009873058e-05,2.6736224323443092e-08,BDL,BDL,0.0219555173849677,BDL,6.031939080688185e-08,NM,NM
170725SN,2017.0,Gibbon Hill,521562.76,4949592.09,89.7,6.4,2.5e-05,0.0019723018333333,3.581020590868398e-07,6.5723842497506015e-06,0.0008155792276964,0.0001613031263506,0.0062830285506566,3.871258314855876e-05,0.0006517418915911,9.962970582184736e-06,9.686586156993862e-05,0.00025778,0.0037174078984485,6.194978806651451e-08,5.138478674409291e-06,1.986939741859111e-07,0.0006809722569227,BDL,NM,NM,NM
170720TJ,2017.0,Wahb Springs,569907.0,4963783.0,29.3,6.458,4.3750000000000005e-06,0.0484445759884989,1.611459265890779e-06,0.0011501672437063,0.0392809587217043,6.755798876242616e-05,0.0054713685900889,0.0008655903547671,0.0012453261394996,0.0047111191112939,0.0081393802917643,7.662280701754369e-05,0.0014264977433004,3.771329203347463e-08,2.293377052462956e-06,2.2175666761820446e-07,0.000318377472413,BDL,NM,NM,NM
170728TA,2017.0,Hot Spring Basin,558539.0,4953736.0,73.1,4.37,2e-05,0.0005168144666666,8.952551477170994e-07,6.16161023414119e-05,0.0033122503328894,2.408874801901743e-06,0.0010735173111134,0.0055692090328763,0.0002952026047168,1.817198107385312e-05,7.50168421577923e-05,3.4196578947368415e-05,1.7258815232722142e-05,4.151722638843604e-08,BDL,3.447308196610269e-07,0.0034481542785758,BDL,NM,NM,NM
170728TB,2017.0,Hot Spring Basin,558545.0,4953756.0,77.9,3.776,1.1875e-05,0.0003250905333333,1.3428827215756491e-05,8.508890323337832e-05,0.0026215046604527,5.056908226480335e-07,0.000155113998753,0.0086475470491013,0.0001205739124207,2.510018514708908e-05,3.840036927990418e-05,6.643421052631579e-06,5.767136812411846e-06,BDL,BDL,2.584473162604891e-07,0.0045997432160455,BDL,NM,NM,NM
170728TC,2017.0,Hot Spring Basin,558550.0,4953764.0,88.4,5.21,4.1875e-06,0.0002776356666666,BDL,0.0001088551141364,BDL,BDL,9.346005172996736e-05,0.0124530009564067,0.0001056045915039,5.894260440238635e-06,6.344128948550325e-06,1.3121842105263158e-05,9.782933709449929e-06,4.619063145310292e-08,BDL,2.4965768834398575e-07,0.0058962948504406,BDL,NM,NM,NM
170729TD,2017.0,Hot Spring Basin,559275.0,4954526.0,81.8,3.65,8.125e-07,0.0001440812666666,BDL,6.396338243060853e-05,BDL,BDL,0.0003924020869167,0.0022154681485955,0.000147223025042,0.0001452762806006,0.0002355898497929,5.715263157894737e-06,1.4661354019746124e-05,3.2822519291381376e-08,BDL,2.0135505419732962e-07,0.0018590675966409,BDL,NM,NM,NM
170729TF,2017.0,Hot Spring Basin,559286.0,4954563.0,76.2,3.4,1.9375e-05,0.0004909098,1.0743061772605193e-05,0.0001754591866674,0.0022303595206391,3.810690102290736e-07,0.0004567253372576,0.0019163052462039,0.0001388415864628,0.0001290063772886,0.0002089376964918,8.491578947368423e-06,1.3567983074753171e-05,BDL,BDL,2.2474030278252201e-07,0.0017824708515511,BDL,NM,NM,NM
170729TI,2017.0,Hot Spring Basin,559324.0,4954508.0,82.4,2.722,3.8125e-06,0.0004679059333333,5.371530886302596e-06,0.0001986385775482,0.003811584553928,3.925947269845844e-07,0.0002597740325272,0.0016028686252771,0.0003403578927984,1.0251388603168073e-05,2.3473476720395226e-05,2.2295000000000003e-05,1.5452045133991536e-05,3.0974894033257263e-08,BDL,BDL,0.0025849011034769,BDL,NM,NM,NM
170729TJ,2017.0,Hot Spring Basin,559301.0,4954498.0,46.9,2.739,7.65625e-06,0.0033042093125,9.489704565801252e-06,0.0004653482776832,0.0039114513981358,3.897132977957067e-07,0.0003869912742489,0.000315066518847,0.0002578737438712,9.939354042378113e-05,0.0001803333499675,1.544736842105263e-05,1.2656135401974611e-05,BDL,BDL,BDL,0.0023460778679991,BDL,NM,NM,NM
170730TL,2017.0,Hot Spring Basin,558879.0,4952128.0,17.2,6.743,0.0002390625,0.00022937515,5.371530886302595e-07,2.9341001114958046e-08,0.0002529960053262,1.45512174038323e-07,6.258675326402802e-05,7.605321507760532e-07,2.919129476217636e-05,2.157025303435507e-05,4.2762238634662407e-05,1.4637894736842104e-05,6.057263751763046e-06,BDL,BDL,BDL,1.5871642723297938e-05,BDL,NM,NM,NM
170730TM,2017.0,Hot Spring Basin,558082.0,4954105.0,87.2,2.195,5.0625e-06,0.0002228830666666,BDL,5.83885922187665e-05,BDL,8.615473274744274e-07,0.000508561438786,0.0027832178492239,0.0003777573449485,6.884097922238221e-05,0.0001337881131793,1.4867894736842108e-05,1.034358251057828e-05,4.912509509835888e-08,BDL,2.54012182908125e-07,0.0079167265250884,BDL,NM,NM,NM
170730TN,2017.0,Hot Spring Basin,558092.0,4954097.0,87.0,5.09,9.375e-07,0.0003848444,BDL,0.0001065078340472,BDL,BDL,0.0001109628374256,0.021314778397991,0.0001160812618451,7.515737502571488e-06,1.7051000548929585e-05,1.1767894736842106e-05,3.019464033850493e-06,1.0020649929355508e-07,BDL,BDL,0.0105218752168783,BDL,NM,NM,NM
170730TO,2017.0,Hot Spring Basin,559091.0,4954096.0,89.8,4.51,3.125e-07,6.351546666666667e-05,8.952551477170994e-07,2.8460771081509297e-05,0.0039114513981358,BDL,7.860496553923618e-05,0.0168363031182307,8.689457086369483e-05,3.139271754782967e-06,6.889066320674683e-06,3.971052631578948e-06,4.32524682651622e-06,1.2629062058471905e-07,BDL,BDL,0.0088318515120757,BDL,NM,NM,NM
170730TP,2017.0,Hot Spring Basin,558094.0,4954156.0,84.9,5.2,4.09375e-06,0.0003103317333333,1.790510295434199e-07,6.807112258670266e-05,0.0015812250332889,BDL,1.1986201340257052e-05,0.0170276109159872,3.160597775350847e-05,1.7946924501131457e-06,5.437147562253605e-06,5.817894736842105e-06,7.379407616361072e-06,1.5107053581132484e-07,BDL,BDL,0.0083690109046429,BDL,NM,NM,NM
170730TR,2017.0,Hot Spring Basin,558028.0,4954204.0,70.7,4.924,1.5e-06,0.0035635593333333,1.790510295434199e-07,0.0003168828120415,0.0035785619174434,2.8511741823944675e-06,0.0006456802589012,0.0028157498425336,0.0001589510285613,1.2692861551121168e-06,1.9807874644443333e-05,6.824657894736842e-05,2.4174894217207333e-05,5.0103249646777536e-08,BDL,BDL,0.0015933726316885,BDL,NM,NM,NM
170730TS,2017.0,Hot Spring Basin,558124.0,4954127.0,80.4,5.285,9.0625e-06,0.0005124077333333,4.118173679498657e-06,0.0001050407839915,0.0021721038615179,1.72885751332661e-07,7.869000336628001e-05,0.0094296743709256,0.0001232137970193,4.808475622299938e-06,8.859224512201207e-06,2.2559210526315787e-06,4.324823695345557e-06,BDL,BDL,BDL,0.0043354260358109,BDL,NM,NM,NM
170730TT,2017.0,Hot Spring Basin,558113.0,4954007.0,80.3,2.52,1.28125e-05,0.0002261725999999,2.721575649059982e-05,5.1933571973475736e-05,0.0029627163781624,5.662008356144648e-07,0.000244313894585,0.0059533501940133,0.0002778353534552,1.7062332853322362e-05,4.570612306003293e-05,1.3446842105263156e-05,5.703808180535965e-06,2.4345179871753066e-08,BDL,3.0949166920678845e-07,0.0066269470252966,BDL,NM,NM,NM
170730TU,2017.0,Hot Spring Basin,558304.0,4953896.0,62.8,6.5,2.34375e-05,0.0093199455833333,5.371530886302595e-07,0.0011002875418109,0.0058005992010652,1.6359314219853045e-05,0.00642589101265,0.0005893791574279,0.000782529803086,5.501666323801687e-05,0.0002567339937122,0.0001892002631578,8.269746121297601e-05,9.585914574502773e-08,BDL,5.031860385227619e-07,0.0009071138871538,BDL,NM,NM,NM
190724ZA,2019.0,GOPA,544531.47,4939784.44,76.0,3.945,2.74375e-05,0.00091398725,5.013428827215756e-05,8.391526318877998e-06,0.0048518641810918,3.733611871488258e-05,0.0025772913741019,0.0001251690687361,0.0006427611942207,0.0002452583830487,0.0004153473227206,0.0002610928947368,0.0015606843441466,BDL,1.8962129555466565e-06,BDL,0.0018733449927128,2.574459258260908e-07,3.9558503523493705e-08,3.3108954210116046e-08,1.2900681613544068e-07
190724ZE,2019.0,GOPA,544549.57,4939842.7,76.4,5.567,1.21875e-05,0.0011359029458333,3.312444046553268e-05,6.278974238601021e-06,0.0072070572569906,0.0002680074917158,0.0120974943245406,8.243902439024391e-06,0.0009188922536273,7.117033532195022e-05,0.0002080125006237,0.0009197999999999,0.007658527503526,BDL,9.503591810172208e-06,2.725832958362968e-06,0.0031056464709556,5.751205099640523e-07,7.035058725123744e-08,2.296279710338443e-08,2.035631777515871e-07
190728ZQ,2019.0,GOPA,544545.66,4939787.78,32.6,3.345,3.75e-05,0.0008170506410697,3.33034914950761e-05,6.748430256440349e-07,0.0035286284953395,4.069442443451952e-05,0.0025213498230451,4.022450110864745e-06,0.0004693403549514,0.0002878527052046,0.0004448122411297,0.0003638255263157,0.0012856286318758,6.629714161504184e-08,1.462192130556668e-06,BDL,0.0023291591193004,3.929393480563623e-06,2.150704425934184e-08,1.295452505151337e-07,1.1534450598577043e-07
190728ZV,2019.0,GOPA,544548.0,4939809.84,75.7,3.392,1.25e-05,0.0007765516916666,8.952551477170994e-05,2.435303092541517e-06,0.0035452729693741,5.111511309609567e-05,0.0027540198424786,3.568819290465633e-05,0.0006279611901284,0.0003728843859288,0.0005360623035081,0.0003361144736842,0.0012004966149506,BDL,1.5183219863836605e-06,BDL,0.0026281082656672,4.205318653826309e-06,BDL,1.7502747151640123e-08,7.445541544432202e-08
190720ZL,2019.0,Sylvan Springs,518350.0,4949524.0,79.2,5.4,1.1875e-05,0.0021145720583333,BDL,1.2763335485006748e-05,0.0042609853528628,0.0007861821063247,0.0163273987224491,0.0001447705099778,0.0010822436013842,7.698004525817734e-07,0.000100539073806,0.0010417578947368,0.0157709957686882,BDL,2.003272677212656e-05,BDL,0.00216921299188,BDL,1.245828364977923e-07,2.8358112340888573e-08,2.487675512944237e-07
190729ZZ,2019.0,Sylvan Springs,518588.98,4949645.21,79.1,4.524,NM,0.0013866589749999,2.5067144136078784e-06,0.0001226453846605,0.0052097203728362,0.000371422705662,0.0113496817867112,0.000323856707317,0.000502119273728,1.6768154700678871e-06,0.0001073025101052,0.000441535,0.0081101889985895,BDL,1.0071085302362835e-05,BDL,0.002219936498022,2.643953864005374e-07,4.87089356290356e-08,1.8753816736771808e-08,2.226189035175858e-08
190725ZG,2019.0,Geyser Creek,521591.0,4948273.0,75.5,6.75,9.375e-06,0.0023900876416666,BDL,5.310721201807405e-06,0.0036284953395472,0.0004354811986745,0.013765906042814,1.6004988913525502e-05,0.0005950637239982,7.096687924295413e-06,0.0001217454713309,0.0008840597368421,0.0106066544428772,2.99967394848386e-07,1.378573037645174e-05,BDL,0.0009688973558192,3.445458316924885e-05,1.043001319477834e-08,3.3813250909959984e-08,7.365767915098596e-08
190725ZH,2019.0,Geyser Creek,521531.53,4948287.03,76.2,4.432,1.46875e-05,0.000481588475,1.486123545210385e-05,1.7604600668974823e-06,0.0039697070572569,0.0001540203140757,0.0062586622771198,5.11759977827051e-05,0.0005798495075233,7.746759925941164e-06,8.293777134587554e-05,0.0004174171052631,0.0040115500705218,BDL,5.10105877052463e-06,BDL,0.0017049109931292,1.8637189722379579e-07,1.406278142291352e-08,6.496099870674596e-08,7.51677877492175e-08
190730VD,2019.0,Norris Geyser Basin,522985.15,4953359.77,86.7,2.66,1.659375e-05,0.0006299710083333,3.939122649955237e-05,1.5844140602077344e-05,0.0076481358189081,0.000335417086875,0.0070952300564655,0.000208495842572,0.0013338884299317,1.2593087842007817e-05,7.634163381406257e-05,0.0001034513157894,0.0075906939351198,2.6736224323443092e-08,1.03232629154986e-05,1.9143648324567897e-07,0.002445526754112,BDL,4.692905762874463e-09,3.428009637630764e-07,2.1687684966613016e-08
190730VG,2019.0,Norris Geyser Basin,523029.6,4953368.93,85.1,3.07,1.08125e-05,5.737623333333332e-05,2.1486123545210385e-05,4.459832169473623e-06,0.0059420772303595,0.0004282733035585,0.0080246075982755,0.0001112148004434,0.0016154389065509,1.0128574367414112e-05,7.168147113129398e-05,6.234657894736841e-05,0.0077153067700987,2.1736767742636672e-08,1.0472942531037244e-05,6.881714187104567e-07,0.0016558257859671,6.29400008844768e-06,2.3631336618386223e-08,6.505746949863047e-08,8.775440194831407e-08
190727ZK,2019.0,Rabbit Creek,515107.12,4929675.49,81.4,3.675,6.875e-05,0.0005729456835991,1.7009847806624888e-05,1.907165072472273e-06,0.0025882157123834,6.605676415502091e-07,0.0002995760853447,0.0003124944567627,0.0002924197471501,7.939724336556265e-06,2.8650381755576625e-05,7.185e-06,2.1038928067700985e-05,BDL,BDL,5.727773127607657e-07,0.0006572228815323,BDL,2.4632851314092723e-09,1.3442687338169925e-08,3.1017599161051425e-08
190718VC,2019.0,Rabbit Creek,515163.73,4928493.39,88.7,6.8,1.915625e-05,0.0025927728333333,3.581020590868398e-07,BDL,0.0026464713715046,1.4562022763290592e-05,0.0022821308034891,2.48059866962306e-06,0.0002882700782386,5.159432215593499e-07,1.967775338090723e-05,0.0002773144736842,4.3685613540197454e-05,3.5724377785023365e-07,BDL,1.993874677646444e-06,BDL,8.479394849396766e-07,NM,NM,NM
